@RELATION svmMusicGenre0
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE class {beat,speechEmotion}

@DATA
0.120781,0.022275,2.868961,0.236806,0.234717,0.778358,0.031604,0.186469,-28.258342,1.760775,0.681127,0.489024,0.097040,0.065429,0.065628,-0.134946,-0.053622,-0.132639,-0.221673,-0.045284,-0.406737,0.060856,0.001331,0.041975,0.005017,0.003995,0.002285,0.057262,0.001258,0.001290,0.006171,0.075649,0.002670,0.046777,0.096470,0.033325,0.475522,0.091526,0.033989,0.745203,0.016754,0.213344,2.722783,0.971904,0.445375,0.440516,0.314354,0.239065,0.260037,0.232679,0.210156,0.197784,0.332561,0.157764,0.277094,0.070951,0.002043,0.038816,0.004519,0.003171,0.002185,0.072914,0.002571,0.001747,0.006705,0.062810,0.002868,0.020561,240.000000,0.168539,speechEmotion
0.094559,0.014256,2.931204,0.233013,0.239791,0.613079,0.023165,0.137962,-28.620564,1.956586,0.966652,0.320771,0.160320,0.204396,0.175076,0.046640,-0.030617,-0.038527,-0.174681,0.056139,-0.287440,0.013949,0.000908,0.018906,0.002724,0.004919,0.002083,0.055234,0.000691,0.001332,0.057984,0.069555,0.003327,0.040172,0.107426,0.015913,0.405221,0.099341,0.030304,0.725718,0.021314,0.215100,3.094873,0.830518,0.469634,0.398405,0.295561,0.322298,0.260858,0.219617,0.204170,0.226916,0.234000,0.202786,0.223473,0.018533,0.001437,0.025265,0.003988,0.003605,0.002866,0.071760,0.001260,0.001641,0.068835,0.051442,0.010695,0.016674,200.000000,0.128000,speechEmotion
0.079255,0.036879,2.758323,0.187798,0.220910,0.436804,0.030937,0.097604,-27.077597,2.509744,0.249899,0.048768,-0.106722,0.016785,0.051763,-0.043435,-0.156459,-0.133743,-0.214588,-0.113797,-0.260603,0.021129,0.007644,0.040670,0.026158,0.010567,0.013213,0.077349,0.004353,0.006142,0.009895,0.031959,0.002413,0.038162,0.093771,0.037609,0.499771,0.087574,0.039847,0.564401,0.031271,0.143709,4.307742,1.012282,0.930169,0.467826,0.359236,0.314889,0.247366,0.280435,0.213988,0.270510,0.323215,0.299825,0.323761,0.029569,0.013867,0.034955,0.036053,0.013748,0.020372,0.088789,0.011252,0.008139,0.013337,0.041251,0.003737,0.021817,200.000000,0.179487,speechEmotion
0.125814,0.030515,2.668367,0.245597,0.211279,0.909564,0.016205,0.235563,-26.283819,1.971566,-0.061271,0.081039,-0.162102,-0.028881,0.224369,-0.100020,-0.063259,-0.014755,-0.199806,-0.244146,-0.329996,0.027633,0.010970,0.038087,0.021002,0.009003,0.005114,0.035453,0.005541,0.003775,0.016598,0.024145,0.007636,0.025910,0.117350,0.028803,0.702120,0.127968,0.036005,0.731257,0.010757,0.243255,3.292396,1.359253,0.859877,0.450108,0.422704,0.345316,0.332933,0.407100,0.268609,0.257160,0.289228,0.309234,0.351623,0.033366,0.013356,0.043592,0.030609,0.009111,0.004662,0.039230,0.010866,0.005123,0.021236,0.027511,0.009723,0.015002,200.000000,0.216216,speechEmotion
0.119558,0.027269,2.781893,0.233905,0.220910,0.708699,0.017419,0.188213,-26.340698,2.316179,0.758009,0.214025,-0.042555,-0.104732,0.251301,0.159433,-0.028198,0.194713,-0.115887,0.189374,-0.029690,0.012036,0.003053,0.062481,0.014111,0.026337,0.004709,0.054737,0.001310,0.003617,0.010755,0.052488,0.001990,0.035290,0.158985,0.029620,0.438031,0.149212,0.047926,0.792768,0.010858,0.280212,4.104074,1.130305,0.593158,0.321137,0.322732,0.434012,0.370311,0.267395,0.270946,0.204030,0.173887,0.146195,0.163222,0.021003,0.005888,0.048394,0.017539,0.029758,0.006472,0.083072,0.001869,0.004583,0.012110,0.063420,0.002545,0.022256,300.000000,0.127660,speechEmotion
0.075880,0.008647,2.788907,0.187029,0.198450,0.657460,0.019926,0.157093,-27.891502,2.197779,0.957053,0.256925,-0.115183,0.110281,0.172952,0.235754,-0.122567,0.145732,-0.075195,0.169291,0.000862,0.011409,0.001688,0.048215,0.007914,0.011654,0.005849,0.061855,0.001415,0.001778,0.010666,0.094984,0.003161,0.039516,0.094618,0.008973,0.374907,0.098585,0.036701,0.543513,0.016395,0.157168,2.938114,0.920952,0.739821,0.412653,0.386956,0.222867,0.321788,0.244755,0.249316,0.221007,0.197488,0.147344,0.163313,0.012599,0.002741,0.033832,0.010102,0.011433,0.007429,0.075747,0.002526,0.001530,0.012881,0.054177,0.004433,0.016549,240.000000,0.140625,speechEmotion
0.144579,0.017718,2.920904,0.254653,0.222694,0.964851,0.018856,0.229469,-26.158073,1.804920,0.326236,-0.114713,-0.146977,-0.036484,0.107475,-0.240803,-0.084705,-0.100530,-0.314719,0.018221,-0.348981,0.030342,0.005793,0.028776,0.023276,0.008957,0.008602,0.028413,0.004822,0.007031,0.026248,0.026970,0.004781,0.029663,0.134232,0.015199,0.404745,0.119746,0.046577,0.686624,0.015572,0.239061,3.317547,1.097590,0.785549,0.603262,0.442390,0.337529,0.313612,0.301173,0.267652,0.266072,0.267360,0.404638,0.311338,0.051420,0.013536,0.033235,0.037956,0.010609,0.014995,0.057835,0.008793,0.007682,0.024681,0.033059,0.007001,0.018561,400.000000,0.155556,speechEmotion
0.161259,0.012682,2.535685,0.250704,0.219066,1.049320,0.016133,0.243817,-28.576188,1.523989,-0.139831,0.070963,-0.107843,0.122274,-0.050561,-0.094156,-0.067485,0.028776,-0.174196,-0.072187,-0.142728,0.015038,0.006952,0.032839,0.016082,0.013806,0.009691,0.039467,0.004443,0.013165,0.017792,0.020626,0.006387,0.024883,0.155486,0.020202,0.563302,0.122338,0.043951,0.780056,0.010706,0.239755,4.504520,1.316531,1.197267,0.573715,0.496850,0.379429,0.346329,0.370835,0.315564,0.274830,0.330135,0.319138,0.246397,0.020288,0.010467,0.042762,0.025087,0.021414,0.016904,0.076498,0.006183,0.021274,0.026180,0.021673,0.006276,0.022039,300.000000,0.189189,speechEmotion
0.119319,0.007837,2.896201,0.229505,0.205833,0.962925,0.022135,0.180701,-29.284151,0.978730,-0.311574,0.265713,-0.365718,-0.396861,-0.460568,-0.369180,-0.011336,0.122503,0.230887,-0.105932,-0.010584,0.023906,0.003497,0.017420,0.012752,0.011794,0.019977,0.038217,0.001918,0.016045,0.010952,0.023687,0.008823,0.027038,0.093030,0.012930,0.466513,0.074769,0.048415,0.683437,0.013610,0.162967,4.390888,1.845879,0.755794,0.553634,0.358596,0.308657,0.338588,0.462212,0.472581,0.416262,0.494616,0.446123,0.261570,0.045976,0.008739,0.031455,0.021420,0.017222,0.035779,0.063220,0.003390,0.022959,0.017920,0.030100,0.011985,0.018062,200.000000,0.235294,speechEmotion
0.119743,0.010742,2.639926,0.231758,0.222409,0.908142,0.024616,0.216625,-28.232176,1.781816,0.174481,-0.055435,-0.445118,-0.075206,0.121954,-0.224243,-0.182794,-0.311322,-0.143350,0.010625,-0.045876,0.011608,0.002427,0.053331,0.027678,0.026835,0.013965,0.038352,0.002905,0.007864,0.007665,0.026565,0.004769,0.031223,0.106758,0.018019,0.492299,0.108815,0.043963,0.815658,0.023128,0.231403,4.499987,0.865285,1.061520,0.523435,0.527822,0.369557,0.381691,0.368503,0.342879,0.400192,0.372479,0.301741,0.250282,0.017822,0.002351,0.065177,0.043574,0.039804,0.020298,0.061496,0.004929,0.014405,0.010991,0.027710,0.007723,0.022045,400.000000,0.228571,speechEmotion
0.093492,0.012098,2.908239,0.192820,0.202147,0.697602,0.029328,0.158042,-28.073083,2.087320,0.446348,0.064051,-0.419611,-0.296105,0.085461,0.149150,-0.051953,0.169577,-0.132510,0.024012,-0.239252,0.018728,0.009976,0.041936,0.008032,0.014139,0.007811,0.078060,0.004238,0.017198,0.018614,0.023273,0.006738,0.037101,0.101006,0.014843,0.234165,0.093285,0.041141,0.521146,0.025781,0.166704,3.636580,0.859197,0.823061,0.450199,0.384280,0.232470,0.342373,0.395938,0.315562,0.298620,0.331370,0.298775,0.303529,0.019316,0.016570,0.043957,0.009136,0.017914,0.013263,0.075988,0.009980,0.032121,0.024998,0.024032,0.009499,0.023435,240.000000,0.183673,speechEmotion
0.117710,0.009557,2.732527,0.216634,0.207889,0.932532,0.017803,0.218581,-28.923065,1.594807,-0.063799,0.059473,-0.295276,0.181959,-0.044729,-0.009207,-0.081952,0.034268,-0.195921,0.044091,-0.051546,0.018722,0.004888,0.024972,0.007145,0.009246,0.009624,0.037169,0.003831,0.008529,0.019751,0.049981,0.005600,0.027997,0.096141,0.018575,0.521312,0.087631,0.046401,0.606289,0.012653,0.185515,4.748014,1.066155,1.119321,0.441798,0.615115,0.356239,0.262463,0.270778,0.248570,0.271802,0.331478,0.198109,0.296330,0.017422,0.007378,0.037483,0.013236,0.012905,0.013866,0.071382,0.005843,0.011357,0.025448,0.058563,0.005821,0.021686,300.000000,0.180000,speechEmotion
0.179474,0.014268,2.908527,0.296959,0.239070,0.965384,0.017073,0.287417,-27.367532,1.783975,0.764406,0.097316,-0.183032,-0.101521,0.492028,-0.015992,0.029303,0.091668,-0.041374,0.181370,-0.077545,0.004162,0.002794,0.019487,0.004119,0.020347,0.015359,0.074074,0.000864,0.008751,0.030873,0.017874,0.001817,0.031222,0.199361,0.013335,0.339127,0.166929,0.035453,0.905107,0.012502,0.319987,3.804693,1.342404,0.603541,0.403271,0.355224,0.313898,0.326927,0.244039,0.219267,0.204095,0.208928,0.191145,0.150366,0.003790,0.003057,0.025602,0.007355,0.041506,0.032401,0.074265,0.000773,0.014607,0.037731,0.028887,0.003124,0.021169,240.000000,0.227273,speechEmotion
0.106977,0.011095,2.951042,0.213300,0.205780,0.864708,0.024744,0.163688,-28.150351,1.936501,-0.033313,0.305852,-0.118757,-0.110065,0.174325,-0.019889,-0.094411,0.133596,-0.167030,0.248929,-0.039471,0.009425,0.003945,0.027083,0.007965,0.023326,0.005820,0.059213,0.002079,0.010084,0.027387,0.033102,0.002300,0.032723,0.099350,0.015134,0.313579,0.095041,0.043952,0.602001,0.020003,0.145041,4.536745,1.073116,1.074153,0.348662,0.459053,0.271062,0.335875,0.251947,0.285596,0.249248,0.239755,0.201327,0.162584,0.012027,0.005654,0.051753,0.009843,0.031606,0.007045,0.092291,0.003366,0.012567,0.031251,0.034446,0.002808,0.023144,400.000000,0.138889,speechEmotion
0.129933,0.032848,2.876532,0.234355,0.227644,0.683437,0.033023,0.190417,-26.339074,2.117252,0.444637,-0.180760,-0.348170,-0.098909,-0.094772,-0.155016,-0.333921,-0.270279,-0.161212,-0.012645,-0.078171,0.031900,0.001889,0.035048,0.029606,0.027887,0.021864,0.079600,0.000860,0.011362,0.006953,0.009510,0.001691,0.045943,0.124696,0.030403,0.466278,0.103514,0.031790,0.638826,0.031105,0.205814,3.012399,0.889686,0.687764,0.473322,0.316818,0.341473,0.336847,0.347084,0.296684,0.353480,0.331567,0.297944,0.230977,0.032563,0.002209,0.036208,0.037060,0.032839,0.031048,0.105143,0.001017,0.022149,0.018111,0.014009,0.002412,0.027781,150.000000,0.113208,speechEmotion
0.156158,0.008027,2.739677,0.278167,0.229068,1.174737,0.017690,0.281000,-27.780545,1.271170,0.159185,0.027130,-0.164191,-0.306277,-0.245441,-0.104982,-0.286066,-0.267967,-0.024572,-0.072637,-0.010100,0.009840,0.001678,0.023518,0.033208,0.025448,0.021973,0.063053,0.001928,0.007475,0.005757,0.016795,0.002505,0.033749,0.144844,0.008654,0.538324,0.115495,0.026305,0.836043,0.017906,0.251373,3.838457,1.224197,0.705571,0.573360,0.259760,0.557859,0.393643,0.436329,0.371526,0.400988,0.405632,0.333685,0.300387,0.016192,0.001800,0.038115,0.055040,0.035440,0.029079,0.096389,0.003410,0.010935,0.008983,0.027008,0.003205,0.026010,240.000000,0.135135,speechEmotion
0.220380,0.014460,2.801079,0.334657,0.244895,1.508626,0.021733,0.457917,-29.788362,0.791494,0.488032,-0.203803,-0.287713,-0.251680,-0.367317,-0.187060,-0.015808,-0.057625,0.119331,0.251662,-0.145937,0.006121,0.002432,0.013379,0.011552,0.011334,0.010239,0.033475,0.004751,0.014740,0.005845,0.036924,0.006284,0.023479,0.115247,0.018983,0.339916,0.085497,0.020717,0.514959,0.005450,0.183238,2.140325,0.841843,0.407520,0.387293,0.303305,0.246744,0.304402,0.395173,0.278159,0.268599,0.348426,0.262509,0.163210,0.012941,0.004312,0.013604,0.026880,0.015486,0.017871,0.039981,0.008860,0.021112,0.008287,0.015905,0.013701,0.012531,171.428571,0.266667,speechEmotion
